entity_type,entity_id,region_code,name,missing_fields,reason_code,reason,priority,status,next_action,source_checked_at
hospital_bed,A2600019,전남광주통합특별시|순천시,성가롤로병원,가용병상|포화율,BED_AVAILABLE_NEGATIVE,가용병상 음수 이상값,P1,open,NEMC 음수 가용병상 재조회 및 이상값 확인,2026-08-31T20:18:11+09:00
hospital_bed,A2601742,전남광주통합특별시|여수시,여수한국병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2600667,전남광주통합특별시|완도군,금일마취통증의학과의원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,E2600362,전남광주통합특별시|완도군,완도군노화읍보건지소,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2600090,전남광주통합특별시|함평군,의료법인인성의료재단함평성심병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2600043,전남광주통합특별시|화순군,화순성심병원,가용병상|전체병상|포화율,BED_SOURCE_STALE,병원 API기준시각이 수집시각보다 12시간 초과,P1,open,NEMC 원천 API기준시각 갱신 여부 확인 후 beds 재수집,2026-08-31T20:18:11+09:00
hospital_bed,A2600048,전남광주통합특별시|화순군,화순고려병원,가용병상|전체병상|포화율,BED_SOURCE_STALE,병원 API기준시각이 수집시각보다 12시간 초과,P1,open,NEMC 원천 API기준시각 갱신 여부 확인 후 beds 재수집,2026-08-31T20:18:11+09:00
hospital_bed,A2500003,전북특별자치도|전주시,전주고려병원,가용병상|전체병상|포화율,BED_SOURCE_STALE,병원 API기준시각이 수집시각보다 12시간 초과,P1,open,NEMC 원천 API기준시각 갱신 여부 확인 후 beds 재수집,2026-08-31T20:18:11+09:00
hospital_bed,A2900001,제주특별자치도|제주시,제주한라병원,가용병상|포화율,BED_AVAILABLE_NEGATIVE,가용병상 음수 이상값,P1,open,NEMC 음수 가용병상 재조회 및 이상값 확인,2026-08-31T20:18:11+09:00
hospital_bed,A2900007,제주특별자치도|제주시,제주대학교병원,가용병상|포화율,BED_AVAILABLE_NEGATIVE,가용병상 음수 이상값,P1,open,NEMC 음수 가용병상 재조회 및 이상값 확인,2026-08-31T20:18:11+09:00
hospital_bed,A2400019,충청남도|금산군,새금산병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2400038,충청남도|부여군,학교법인건양교육재단건양대학교부여병원,가용병상|전체병상|포화율,BED_SOURCE_STALE,병원 API기준시각이 수집시각보다 12시간 초과,P1,open,NEMC 원천 API기준시각 갱신 여부 확인 후 beds 재수집,2026-08-31T20:18:11+09:00
hospital_bed,A2400015,충청남도|예산군,예산명지병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2402812,충청남도|천안시,나은필병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2300017,충청북도|보은군,의료법인정민의료재단보은한양병원,가용병상|전체병상|포화율,BED_SOURCE_STALE,병원 API기준시각이 수집시각보다 12시간 초과,P1,open,NEMC 원천 API기준시각 갱신 여부 확인 후 beds 재수집,2026-08-31T20:18:11+09:00
hospital_bed,A2300015,충청북도|음성군,의료법인태성의료재단제일조은병원,가용병상|전체병상|포화율,BED_SOURCE_STALE,병원 API기준시각이 수집시각보다 12시간 초과,P1,open,NEMC 원천 API기준시각 갱신 여부 확인 후 beds 재수집,2026-08-31T20:18:11+09:00
hospital_bed,A2300021,충청북도|청주시,오창중앙병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2300039,충청북도|청주시,의료법인송암의료재단마이크로병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2302011,충청북도|청주시,재단법인베스티안재단베스티안병원,가용병상|전체병상|포화율,BED_SOURCE_STALE,병원 API기준시각이 수집시각보다 12시간 초과,P1,open,NEMC 원천 API기준시각 갱신 여부 확인 후 beds 재수집,2026-08-31T20:18:11+09:00
hospital_bed,A2302306,충청북도|충주시,충주미래병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_hira,A2100283,경기도|고양시,의료법인일산복음병원,HIRA식별자|응급의학과전문의수,HIRA_MATCH_DEFERRED,HIRA 후보를 1:1로 확정할 근거 부족 (후보모호),P2,open,HIRA 공식 상세에서 이름·주소·전화·요양기호 수동검증,2026-08-31T11:18:19+00:00
hospital_hira,A2300039,충청북도|청주시,의료법인송암의료재단마이크로병원,HIRA식별자|응급의학과전문의수,HIRA_MATCH_DEFERRED,HIRA 후보를 1:1로 확정할 근거 부족 (후보모호),P2,open,HIRA 공식 상세에서 이름·주소·전화·요양기호 수동검증,2026-08-31T11:18:19+00:00
