entity_type,entity_id,region_code,name,missing_fields,reason_code,reason,priority,status,next_action,source_checked_at
hospital_bed,A2800012,경상남도|창원시,근로복지공단 창원병원,가용병상|전체병상|포화율,BED_SOURCE_STALE,병원 API기준시각이 수집시각보다 12시간 초과,P1,open,NEMC 원천 API기준시각 갱신 여부 확인 후 beds 재수집,2026-08-31T20:18:11+09:00
hospital_bed,A2800018,경상남도|창원시,의료법인석영의료재단창원제일종합병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2800826,경상남도|하동군,하동중앙의원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2800138,경상남도|함안군,시영의료재단 영동병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2700071,경상북도|봉화군,봉화해성병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2700030,경상북도|성주군,의료법인석촌의료재단성주병원,가용병상|전체병상|포화율,BED_SOURCE_STALE,병원 API기준시각이 수집시각보다 12시간 초과,P1,open,NEMC 원천 API기준시각 갱신 여부 확인 후 beds 재수집,2026-08-31T20:18:11+09:00
hospital_bed,A2700073,경상북도|영덕군,영덕아산병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2700026,경상북도|영양군,의료법인명성의료재단영양병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A2700063,경상북도|의성군,의료법인영제의료재단영남제일병원,가용병상|전체병상|포화율,BED_SOURCE_STALE,병원 API기준시각이 수집시각보다 12시간 초과,P1,open,NEMC 원천 API기준시각 갱신 여부 확인 후 beds 재수집,2026-08-31T20:18:11+09:00
hospital_bed,A2700066,경상북도|칠곡군,의료법인왜관병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A1304119,대구광역시|남구,대구예스병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A1303449,대구광역시|달성군,행복한병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
