"기관코드","병원명","주소","시도","시군구","HIRA병원명","암호화요양기호","매칭점수","매칭상태","응급의학과전문의수"
"A2100022","의료법인박애의료재단박애병원","경기도 평택시 평택2로20번길 3 (평택동)","경기도","평택시","","","0.0","미매칭",""
"A2113246","의료법인양진의료재단평택성모병원","경기도 평택시 평택로 284 (세교동)","경기도","평택시","","","0.0","미매칭",""
"A2100301","의료법인청파의료재단송탄중앙병원","경기도 평택시 오좌동길 17-16 (독곡동)","경기도","평택시","","","0.0","미매칭",""
"A2115699","의료법인원광의료재단원광종합병원","경기도 화성시 병점구 화산북로 21 (송산동)","경기도","화성시","","","0.0","미매칭",""
"A2803447","더조은병원","경상남도 고성군 고성읍 동외로 142","경상남도","고성군","","","0.0","미매칭",""
"A2800146","의료법인신의료재단김해삼승병원","경상남도 김해시 김해대로 2335 (부원동)","경상남도","김해시","","","0.0","미매칭",""
"A2700019","의)근원의료재단경산중앙병원","경상북도 경산시 경안로 11 (백천동)","경상북도","경산시","","","0.0","미매칭",""
"A2700036","의료법인서명의료재단세명종합병원","경상북도 경산시 경안로 208 (중방동)","경상북도","경산시","","","0.0","미매칭",""
"A2700097","계명대학교경주동산병원","경상북도 경주시 봉황로 65 (서부동)","경상북도","경주시","","","0.0","미매칭",""
"A2700066","의료법인왜관병원","경상북도 칠곡군 왜관읍 군청2길 10","경상북도","칠곡군","","","0.0","미매칭",""
"A1300006","의료법인구의료재단구병원","대구광역시 달서구 감삼북길 141 (감삼동)","대구광역시","달서구","","","0.0","미매칭",""
"A1300011","한국보훈복지의료공단대구보훈병원","대구광역시 달서구 월곡로 60 (도원동)","대구광역시","달서구","","","0.0","미매칭",""
"A1300033","의료법인백천의료재단바로본병원","대구광역시 동구 국채보상로 769 (신천동)","대구광역시","동구","","","0.0","미매칭",""
"A1300005","대구가톨릭대학교칠곡가톨릭병원","대구광역시 북구 칠곡중앙대로 440 (읍내동)","대구광역시","북구","","","0.0","미매칭",""
"A1600009","근로복지공단대전병원","대전광역시 대덕구 계족로 637 (법동)","대전광역시","대덕구","","","0.0","미매칭",""
"A1600006","학교법인건양교육재단건양대학교병원","대전광역시 서구 관저동로 158, 건양대학교병원 (관저동)","대전광역시","서구","","","0.0","미매칭",""
"A1600007","의료법인영훈의료재단유성선병원","대전광역시 유성구 북유성대로 93 (지족동)","대전광역시","유성구","","","0.0","미매칭",""
"A1600008","의료법인영훈의료재단대전선병원","대전광역시 중구 목중로 29 (목동,(목동))","대전광역시","중구","","","0.0","미매칭",""
"A1600005","학교법인가톨릭학원가톨릭대학교대전성모병원","대전광역시 중구 대흥로 64, 성모병원 (대흥동)","대전광역시","중구","","","0.0","미매칭",""
"A1100057","차의과학대학교강남차병원","서울특별시 강남구 논현로 566, 강남차병원(역삼동650-9, 606-4, 605외2필지(지하7층~지하1층, 지상2층~7층)) (역삼동)","서울특별시","강남구","","","0.0","미매칭",""
"A1100053","한국보훈복지의료공단중앙보훈병원","서울특별시 강동구 진황도로61길 53 (둔촌동)","서울특별시","강동구","","","0.0","미매칭",""
"A1100030","의료법인성화의료재단대한병원","서울특별시 강북구 도봉로 301 (수유동, 대한병원)","서울특별시","강북구","","","0.0","미매칭",""
"A1100016","인제대학교상계백병원","서울특별시 노원구 동일로 1342, 상계백병원 (상계동)","서울특별시","노원구","","","0.0","미매칭",""
"A1100020","의료법인한전의료재단한일병원","서울특별시 도봉구 우이천로 308, 한일병원 (쌍문동)","서울특별시","도봉구","","","0.0","미매칭",""
"A1100022","서울특별시동부병원","서울특별시 동대문구 무학로 124 (용두동)","서울특별시","동대문구","","","0.0","미매칭",""
"A1100025","의료법인동신의료재단동신병원","서울특별시 서대문구 연희로 272, 동신병원 본관동 (홍은동)","서울특별시","서대문구","","","0.0","미매칭",""
"A1100009","재단법인아산사회복지재단서울아산병원","서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)","서울특별시","송파구","","","0.0","미매칭",""
"A1100011","가톨릭대학교여의도성모병원","서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)","서울특별시","영등포구","","","0.0","미매칭",""
"A1100054","성애의료재단성애병원","서울특별시 영등포구 여의대방로53길 22 (신길동, 성애병원)","서울특별시","영등포구","","","0.0","미매칭",""
"A1100255","의료법인인봉의료재단영등포병원","서울특별시 영등포구 당산로31길 10 (당산동3가)","서울특별시","영등포구","","","0.0","미매칭",""
"A1100055","한림대학교강남성심병원","서울특별시 영등포구 신길로 1 (대림동, 강남성심병원)","서울특별시","영등포구","","","0.0","미매칭",""
"A1100038","한림대학교한강성심병원","서울특별시 영등포구 버드나루로7길 12 (영등포동7가, 한강성심병원)","서울특별시","영등포구","","","0.0","미매칭",""
"A1100004","순천향대학교부속서울병원","서울특별시 용산구 대사관로 59 (한남동)","서울특별시","용산구","","","0.0","미매칭",""
"A1121013","가톨릭대학교은평성모병원","서울특별시 은평구 통일로 1021 (진관동)","서울특별시","은평구","","","0.0","미매칭",""
"A1100023","의료법인청구성심병원","서울특별시 은평구 통일로 873 (갈현동)","서울특별시","은평구","","","0.0","미매칭",""
"A1700023","(의)내경의료재단울산제일병원","울산광역시 남구 남산로354번길 26 (신정동)","울산광역시","남구","","","0.0","미매칭",""
"A1700011","의료법인은성의료재단좋은삼정병원","울산광역시 남구 북부순환도로 51 (무거동)","울산광역시","남구","","","0.0","미매칭",""
"A1700004","학교법인울산공업학원울산대학교병원","울산광역시 동구 대학병원로 25, 울산대학교병원 (전하동)","울산광역시","동구","","","0.0","미매칭",""
"A1700025","의료법인송은의료재단울산시티병원","울산광역시 북구 산업로 1007 (연암동)","울산광역시","북구","","","0.0","미매칭",""
"A1700002","의료법인동강의료재단동강병원","울산광역시 중구 태화로 239 (태화동)","울산광역시","중구","","","0.0","미매칭",""
"A1701489","의료법인동강의료재단동천동강병원","울산광역시 중구 외솔큰길 215 (남외동, 동천동강병원)","울산광역시","중구","","","0.0","미매칭",""
"A1400014","의료법인인성의료재단한림병원","인천광역시 계양구 장제로 722 (작전동)","인천광역시","계양구","","","0.0","미매칭",""
"A1400012","가톨릭대학교 인천성모병원","인천광역시 부평구 동수로 56 (부평동)","인천광역시","부평구","","","0.0","미매칭",""
"A1400013","안은의료재단 부평세림병원","인천광역시 부평구 부평대로 175 (청천동, 세림병원)","인천광역시","부평구","","","0.0","미매칭",""
"A1400015","가톨릭관동대학교국제성모병원","인천광역시 서해구 심곡로100번길 25 (심곡동, 인천국제성모병원)","인천광역시","서해구","","","0.0","미매칭",""
"A2600050","전라남도강진의료원","전남광주통합특별시 강진군 강진읍 탐진로 5  ","전남광주통합특별시","강진군","","","0.0","미매칭",""
"A2600018","의료법인영성의료재단고흥종합병원","전남광주통합특별시 고흥군 고흥읍 고흥로 1935","전남광주통합특별시","고흥군","","","0.0","미매칭",""
"A2600068","의료법인장호의료재단녹동현대병원","전남광주통합특별시 고흥군 도양읍 차경구렁목길 215","전남광주통합특별시","고흥군","","","0.0","미매칭",""
"A2600024","의료법인현경의료재단광양서울병원","전남광주통합특별시 광양시 진등길 93 (마동)","전남광주통합특별시","광양시","","","0.0","미매칭",""
"A2600017","의료법인목포구암의료재단목포중앙병원","전남광주통합특별시 목포시 영산로 627 (석현동)","전남광주통합특별시","목포시","","","0.0","미매칭",""
"A2600003","대송의료재단무안병원","전남광주통합특별시 무안군 무안읍 몽탄로 65","전남광주통합특별시","무안군","","","0.0","미매칭",""
"A2600066","의료법인삼호의료재단벌교삼호병원","전남광주통합특별시 보성군 벌교읍 남하로 12","전남광주통합특별시","보성군","","","0.0","미매칭",""
"A2600012","근로복지공단순천병원","전남광주통합특별시 순천시 조례1길 24 (조례동)","전남광주통합특별시","순천시","","","0.0","미매칭",""
"A2600005","의료법인한국의료재단한국병원","전남광주통합특별시 순천시 우명길 42 (연향동)","전남광주통합특별시","순천시","","","0.0","미매칭",""
"A2600056","전라남도순천의료원","전남광주통합특별시 순천시 서문성터길 2 (매곡동)","전남광주통합특별시","순천시","","","0.0","미매칭",""
"A2600027","의료법인한마음의료재단여수제일병원","전남광주통합특별시 여수시 쌍봉로 70 (학동, (학동))","전남광주통합특별시","여수시","","","0.0","미매칭",""
"A2600035","의료법인행복나눔의료재단장성병원","전남광주통합특별시 장성군 장성읍 역전로 171","전남광주통합특별시","장성군","","","0.0","미매칭",""
"A2600021","의료법인우범의료재단장흥종합병원","전남광주통합특별시 장흥군 장흥읍 흥성로 74","전남광주통합특별시","장흥군","","","0.0","미매칭",""
"A2600090","의료법인인성의료재단함평성심병원","전남광주통합특별시 함평군 함평읍 영수길 132, 함평성심병원","전남광주통합특별시","함평군","","","0.0","미매칭",""
"A2600009","의료법인행촌의료재단해남종합병원","전남광주통합특별시 해남군 해남읍 해남로 45","전남광주통합특별시","해남군","","","0.0","미매칭",""
"A2500012","의료법인오성의료재단동군산병원","전북특별자치도 군산시 조촌로 149 (조촌동)","전북특별자치도","군산시","","","0.0","미매칭",""
"A2500007","전북특별자치도군산의료원","전북특별자치도 군산시 의료원로 27 (지곡동,(지곡동, 군산의료원))","전북특별자치도","군산시","","","0.0","미매칭",""
"A2500004","전북특별자치도남원의료원","전북특별자치도 남원시 충정로 365 (고죽동)","전북특별자치도","남원시","","","0.0","미매칭",""
"A2500011","의료법인대산의료재단익산병원","전북특별자치도 익산시 무왕로 969 (신동)","전북특별자치도","익산시","","","0.0","미매칭",""
"A2400010","충청남도공주의료원","충청남도 공주시 무령로 77 (웅진동)","충청남도","공주시","","","0.0","미매칭",""
"A2400009","의료법인백제병원","충청남도 논산시 시민로294번길 14 (취암동)","충청남도","논산시","","","0.0","미매칭",""
"A2400011","재단법인아산사회복지재단보령아산병원","충청남도 보령시 죽성로 136 (죽정동)","충청남도","보령시","","","0.0","미매칭",""
"A2400006","충청남도서산의료원","충청남도 서산시 중앙로 149 (석림동)","충청남도","서산시","","","0.0","미매칭",""
"A2400004","의료법인예당의료재단예산종합병원","충청남도 예산군 예산읍 금오대로 94","충청남도","예산군","","","0.0","미매칭",""
"A2400012","의료법인영서의료재단천안충무병원","충청남도 천안시 서북구 다가말3길 8, 충무병원 (쌍용동)","충청남도","천안시","","","0.0","미매칭",""
"A2400005","충청남도천안의료원","충청남도 천안시 동남구 충절로 537 (삼룡동)","충청남도","천안시","","","0.0","미매칭",""
"A2400001","학교법인동은학원순천향대학교부속천안병원","충청남도 천안시 동남구 순천향6길 31 (봉명동)","충청남도","천안시","","","0.0","미매칭",""
"A2400007","충청남도홍성의료원","충청남도 홍성군 홍성읍 조양로 224","충청남도","홍성군","","","0.0","미매칭",""
"A2300034","의료법인대광의료재단괴산성모병원","충청북도 괴산군 괴산읍 임꺽정로 116-0 (괴산성모병원)","충청북도","괴산군","","","0.0","미매칭",""
"A2300017","의료법인정민의료재단보은한양병원","충청북도 보은군 보은읍 보은로 102","충청북도","보은군","","","0.0","미매칭",""
"A2300030","의료법인조윤의료재단영동병원","충청북도 영동군 영동읍 대학로 106","충청북도","영동군","","","0.0","미매칭",""
"A2300011","의료법인힐링의료재단옥천성모병원","충청북도 옥천군 옥천읍 성왕로 1195","충청북도","옥천군","","","0.0","미매칭",""
"A2300015","의료법인태성의료재단제일조은병원","충청북도 음성군 금왕읍 음성로1230번길 10","충청북도","음성군","","","0.0","미매칭",""
"A2300005","의료법인자산의료재단제천서울병원","충청북도 제천시 숭문로 57 (서부동)","충청북도","제천시","","","0.0","미매칭",""
"A2300007","의료법인인화재단한국병원","충청북도 청주시 상당구 단재로 106 (영운동)","충청북도","청주시","","","0.0","미매칭",""
"A2300010","건국대학교충주병원","충청북도 충주시 국원대로 82 (교현동)","충청북도","충주시","","","0.0","미매칭",""
"A2300004","충청북도충주의료원","충청북도 충주시 안림로 239-50 (안림동)","충청북도","충주시","","","0.0","미매칭",""
