기관코드,병원명,등급,시도,시군구,가용병상,전체병상,포화율,상태,API기준시각,수집시각
A1100048,노원을지대학교병원,지역응급의료센터,서울특별시,노원구,8.0,17.0,52.94117647058824,주의,20260719141102,2026-07-19T14:22:34+09:00
A1100049,희명병원,지역응급의료기관,서울특별시,금천구,8.0,10.0,20.0,여유,20260719141425,2026-07-19T14:22:34+09:00
A1100050,서울성심병원,지역응급의료기관,서울특별시,동대문구,16.0,17.0,5.88235294117647,여유,20260719141316,2026-07-19T14:22:34+09:00
A1100051,혜민병원,지역응급의료기관,서울특별시,광진구,6.0,9.0,33.33333333333333,여유,20260719141039,2026-07-19T14:22:34+09:00
A1100052,국립중앙의료원,지역응급의료센터,서울특별시,중구,12.0,15.0,20.0,여유,20260719141304,2026-07-19T14:22:34+09:00
A1100053,한국보훈복지의료공단중앙보훈병원,지역응급의료센터,서울특별시,강동구,10.0,22.0,54.54545454545454,주의,20260719141330,2026-07-19T14:22:34+09:00
A1100054,성애의료재단성애병원,지역응급의료센터,서울특별시,영등포구,11.0,15.0,26.666666666666668,여유,20260719141417,2026-07-19T14:22:34+09:00
A1100055,한림대학교강남성심병원,지역응급의료센터,서울특별시,영등포구,10.0,20.0,50.0,여유,20260719141214,2026-07-19T14:22:34+09:00
A1100057,차의과학대학교강남차병원,응급실운영신고기관,서울특별시,강남구,,,,결측,,
A1100063,신촌연세병원,응급실운영신고기관,서울특별시,마포구,,,,결측,,
A1100075,의료법인풍산의료재단동부제일병원,지역응급의료기관,서울특별시,중랑구,7.0,7.0,0.0,여유,20260719141042,2026-07-19T14:22:34+09:00
A1100076,강남힐병원,응급실운영신고기관,서울특별시,관악구,,,,결측,,
A1100141,강남베드로병원,응급실운영신고기관,서울특별시,강남구,,,,결측,,
A1100148,사랑의병원,응급실운영신고기관,서울특별시,관악구,,,,결측,,
A1100152,은평연세병원,응급실운영신고기관,서울특별시,은평구,,,,결측,,
A1100163,한강수병원,응급실운영신고기관,서울특별시,영등포구,,,,결측,,
A1100172,서울현대병원,응급실운영신고기관,서울특별시,강북구,,,,결측,,
A1100223,서울특별시서남병원,지역응급의료기관,서울특별시,양천구,15.0,17.0,11.76470588235294,여유,20260719141000,2026-07-19T14:22:34+09:00
A1100255,의료법인인봉의료재단영등포병원,응급실운영신고기관,서울특별시,영등포구,,,,결측,,
A1107402,서울대학교치과병원,응급실운영신고기관,서울특별시,종로구,,,,결측,,
A1117070,최원호병원,응급실운영신고기관,서울특별시,은평구,,,,결측,,
A1117285,강서케이병원,응급실운영신고기관,서울특별시,강서구,,,,결측,,
A1120432,올바로병원,응급실운영신고기관,서울특별시,서초구,,,,결측,,
A1120796,이화여자대학교의과대학부속서울병원,지역응급의료센터,서울특별시,강서구,-1.0,14.0,,결측,20260719141137,2026-07-19T14:22:34+09:00
A1121013,가톨릭대학교은평성모병원,지역응급의료센터,서울특별시,은평구,-1.0,24.0,,결측,20260719141511,2026-07-19T14:22:34+09:00
A1121842,강북으뜸병원,응급실운영신고기관,서울특별시,강북구,,,,결측,,
A1122033,기쁨병원,지역응급의료기관,서울특별시,서초구,0.0,4.0,100.0,포화,20260719141447,2026-07-19T14:22:34+09:00
A1122381,재단법인베스티안재단베스티안서울병원,응급실운영신고기관,서울특별시,성동구,,,,결측,,
A1123234,더드림병원,응급실운영신고기관,서울특별시,강남구,,,,결측,,
A1125429,강철병원,응급실운영신고기관,서울특별시,송파구,,,,결측,,
A1126226,낭만병원,응급실운영신고기관,서울특별시,동작구,,,,결측,,
A1200001,인제대학교부산백병원,지역응급의료센터,부산광역시,부산진구,15.0,22.0,31.818181818181817,여유,20260719141509,2026-07-19T14:22:34+09:00
A1200002,부산대학교병원,지역응급의료센터,부산광역시,서구,6.0,17.0,64.70588235294117,주의,20260719141500,2026-07-19T14:22:34+09:00
A1200003,동아대학교병원,권역응급의료센터,부산광역시,서구,16.0,26.0,38.46153846153847,여유,20260719141210,2026-07-19T14:22:34+09:00
A1200004,고신대학교복음병원,지역응급의료센터,부산광역시,서구,22.0,25.0,12.0,여유,20260719141442,2026-07-19T14:22:34+09:00
A1200005,의료법인 은성의료재단 좋은삼선병원,지역응급의료센터,부산광역시,사상구,-1.0,13.0,,결측,20260719141456,2026-07-19T14:22:34+09:00
A1200006,의료법인 인당의료재단 부민병원,지역응급의료기관,부산광역시,북구,5.0,10.0,50.0,여유,20260719141112,2026-07-19T14:22:34+09:00
A1200007,비에이치에스한서병원,지역응급의료센터,부산광역시,수영구,12.0,17.0,29.411764705882355,여유,20260719141523,2026-07-19T14:22:34+09:00
A1200008,의료법인 은성의료재단 좋은강안병원,지역응급의료기관,부산광역시,수영구,0.0,18.0,100.0,포화,20260719141518,2026-07-19T14:22:34+09:00
A1200009,의료법인 광혜의료재단 광혜병원,지역응급의료기관,부산광역시,동래구,9.0,9.0,0.0,여유,20260719141403,2026-07-19T14:22:34+09:00
A1200011,동래봉생병원,지역응급의료기관,부산광역시,동래구,3.0,8.0,62.5,주의,20260719141306,2026-07-19T14:22:34+09:00
A1200012,의료법인 행도의료재단 해동병원,지역응급의료기관,부산광역시,영도구,1.0,6.0,83.33333333333334,포화,20260719141504,2026-07-19T14:22:34+09:00
A1200013,부산성모병원(재단법인 천주교부산교구유지재단),지역응급의료기관,부산광역시,남구,0.0,10.0,100.0,포화,20260719141209,2026-07-19T14:22:34+09:00
A1200014,영도병원,지역응급의료기관,부산광역시,영도구,4.0,7.0,42.857142857142854,여유,20260719141412,2026-07-19T14:22:34+09:00
A1200015,동남권원자력의학원원자력병원,지역응급의료기관,부산광역시,기장군,4.0,9.0,55.55555555555556,주의,20260719141504,2026-07-19T14:22:34+09:00
A1200016,한국보훈복지의료공단 부산보훈병원,지역응급의료기관,부산광역시,사상구,9.0,11.0,18.181818181818183,여유,20260719141250,2026-07-19T14:22:34+09:00
A1200017,의료법인정화의료재단 봉생기념병원,지역응급의료기관,부산광역시,동구,5.0,9.0,44.44444444444444,여유,20260719141452,2026-07-19T14:22:34+09:00
A1200018,대동병원,지역응급의료센터,부산광역시,동래구,9.0,15.0,40.0,여유,20260719141118,2026-07-19T14:22:34+09:00
A1200019,학교법인)동의병원,지역응급의료기관,부산광역시,부산진구,13.0,14.0,7.142857142857142,여유,20260719141500,2026-07-19T14:22:34+09:00
A1200020,의료법인 온그룹의료재단 온병원,지역응급의료센터,부산광역시,부산진구,14.0,20.0,30.0,여유,20260719141039,2026-07-19T14:22:34+09:00
A1200021,삼육부산병원,지역응급의료기관,부산광역시,서구,3.0,9.0,66.66666666666666,주의,20260719141324,2026-07-19T14:22:34+09:00
A1200022,인제대학교 해운대백병원,권역응급의료센터,부산광역시,해운대구,18.0,29.0,37.93103448275862,여유,20260719141131,2026-07-19T14:22:34+09:00
A1200023,재단법인천주교부산교구유지재단 메리놀병원,지역응급의료기관,부산광역시,중구,6.0,9.0,33.33333333333333,여유,20260719141508,2026-07-19T14:22:34+09:00
A1200024,부산광역시의료원,지역응급의료기관,부산광역시,연제구,13.0,18.0,27.77777777777778,여유,20260719141454,2026-07-19T14:22:34+09:00
A1200025,학교법인 춘해병원,지역응급의료기관,부산광역시,부산진구,8.0,9.0,11.11111111111111,여유,20260719141410,2026-07-19T14:22:34+09:00
A1200026,좋은문화병원,지역응급의료기관,부산광역시,동구,1.0,7.0,85.71428571428571,포화,20260719141342,2026-07-19T14:22:34+09:00
A1200027,재단법인일신기독교선교회 일신기독병원,응급실운영신고기관,부산광역시,동구,,,,결측,,
A1200028,(의)서일의료재단기장병원,지역응급의료기관,부산광역시,기장군,8.0,9.0,11.11111111111111,여유,20260719141440,2026-07-19T14:22:34+09:00
A1200045,구포성심병원,지역응급의료기관,부산광역시,북구,-1.0,9.0,,결측,20260719141256,2026-07-19T14:22:34+09:00
A1200048,효성시티병원,응급실운영신고기관,부산광역시,해운대구,,,,결측,,
A1200081,의료법인 라움의료재단 세웅병원,응급실운영신고기관,부산광역시,금정구,,,,결측,,
A1200089,큐병원,응급실운영신고기관,부산광역시,사하구,,,,결측,,
A1200098,의료법인 센텀의료재단 센텀종합병원,지역응급의료기관,부산광역시,수영구,4.0,9.0,55.55555555555556,주의,20260719141224,2026-07-19T14:22:34+09:00
A1200101,의료법인센텀의료재단 서부산센텀병원,응급실운영신고기관,부산광역시,사상구,,,,결측,,
A1200110,재단법인 베스티안재단 베스티안부산병원,응급실운영신고기관,부산광역시,북구,,,,결측,,
A1200111,세일병원,응급실운영신고기관,부산광역시,동구,,,,결측,,
A1205143,의료법인 인당의료재단 해운대부민병원,지역응급의료기관,부산광역시,해운대구,4.0,9.0,55.55555555555556,주의,20260719141112,2026-07-19T14:22:34+09:00
