시군구코드,응급의학과전문의수,병상수,전문의0명,병상대비전문의부족비율,의료진부족점수
전남광주통합특별시|곡성군,0.0,5.0,True,,100.0
전남광주통합특별시|광산구,28.0,109.0,False,3.892857142857143,16.10902358427924
전남광주통합특별시|광양시,1.0,18.0,False,18.0,100.0
전남광주통합특별시|구례군,0.0,10.0,True,,100.0
전남광주통합특별시|나주시,1.0,19.0,False,19.0,100.0
전남광주통합특별시|남구,11.0,39.0,False,3.5454545454545454,13.943337790879767
전남광주통합특별시|담양군,0.0,6.0,True,,100.0
전남광주통합특별시|동구,25.0,49.0,False,1.96,4.059714551320613
전남광주통합특별시|목포시,23.0,65.0,False,2.8260869565217392,9.4588457944703
전남광주통합특별시|무안군,1.0,4.0,False,4.0,16.776945371028607
전남광주통합특별시|보성군,0.0,14.0,True,,100.0
전남광주통합특별시|북구,10.0,46.0,False,4.6,20.517307376825073
전남광주통합특별시|서구,11.0,51.0,False,4.636363636363637,20.743995983236985
전남광주통합특별시|순천시,18.0,54.0,False,3.0,10.54300869470116
전남광주통합특별시|신안군,0.0,4.0,True,,100.0
전남광주통합특별시|여수시,7.0,36.0,False,5.142857142857143,23.90144442968855
전남광주통합특별시|영광군,1.0,20.0,False,20.0,100.0
전남광주통합특별시|영암군,0.0,8.0,True,,100.0
전남광주통합특별시|완도군,0.0,5.0,True,,100.0
전남광주통합특별시|장성군,0.0,4.0,True,,100.0
전남광주통합특별시|장흥군,0.0,13.0,True,,100.0
전남광주통합특별시|진도군,0.0,9.0,True,,100.0
전남광주통합특별시|함평군,0.0,,True,,100.0
전남광주통합특별시|해남군,1.0,25.0,False,25.0,100.0
전남광주통합특별시|화순군,4.0,23.0,False,5.75,27.68633455460164
전북특별자치도|고창군,0.0,10.0,True,,100.0
전북특별자치도|군산시,14.0,34.0,False,2.4285714285714284,6.980759165371188
전북특별자치도|김제시,1.0,10.0,False,10.0,54.1805654289933
전북특별자치도|남원시,6.0,17.0,False,2.8333333333333335,9.504019248646586
전북특별자치도|무주군,0.0,4.0,True,,100.0
전북특별자치도|부안군,1.0,10.0,False,10.0,54.1805654289933
전북특별자치도|순창군,0.0,9.0,True,,100.0
전북특별자치도|익산시,21.0,43.0,False,2.0476190476190474,4.605926145817874
전북특별자치도|임실군,0.0,4.0,True,,100.0
전북특별자치도|장수군,0.0,5.0,True,,100.0
전북특별자치도|전주시,45.0,157.0,False,3.488888888888889,13.590711069794578
전북특별자치도|정읍시,0.0,17.0,True,,100.0
전북특별자치도|진안군,0.0,6.0,True,,100.0
제주특별자치도|서귀포시,7.0,16.0,False,2.2857142857142856,6.090196783038696
제주특별자치도|제주시,35.0,77.0,False,2.2,5.555859353639201
충청남도|공주시,0.0,15.0,True,,100.0
충청남도|금산군,0.0,,True,,100.0
충청남도|논산시,4.0,20.0,False,5.0,23.010882047356056
충청남도|당진시,9.0,17.0,False,1.8888888888888888,3.616412387670661
충청남도|보령시,0.0,17.0,True,,100.0
충청남도|부여군,0.0,9.0,True,,100.0
충청남도|서산시,10.0,34.0,False,3.4,13.03658336523214
충청남도|서천군,0.0,5.0,True,,100.0
충청남도|아산시,9.0,23.0,False,2.5555555555555554,7.7723701718889595
충청남도|예산군,0.0,6.0,True,,100.0
충청남도|천안시,32.0,75.0,False,2.34375,6.451987750861271
충청남도|청양군,0.0,6.0,True,,100.0
충청남도|태안군,4.0,10.0,False,2.5,7.426040356537435
충청남도|홍성군,9.0,18.0,False,2.0,4.309072018373711
충청북도|괴산군,0.0,9.0,True,,100.0
충청북도|단양군,0.0,6.0,True,,100.0
충청북도|보은군,0.0,7.0,True,,100.0
충청북도|영동군,0.0,10.0,True,,100.0
충청북도|옥천군,0.0,7.0,True,,100.0
충청북도|음성군,0.0,10.0,True,,100.0
충청북도|제천시,13.0,33.0,False,2.5384615384615383,7.665807151780797
충청북도|진천군,1.0,17.0,False,17.0,97.81812216328544
충청북도|청주시,26.0,107.0,False,4.115384615384615,17.496245756758693
충청북도|충주시,8.0,38.0,False,4.75,21.452397878274194
