"행정구역","2026년07월_계_총인구수","2026년07월_계_연령구간인구수","2026년07월_계_0~9세","2026년07월_계_10~19세","2026년07월_계_20~29세","2026년07월_계_30~39세","2026년07월_계_40~49세","2026년07월_계_50~59세","2026년07월_계_60~69세","2026년07월_계_70~79세","2026년07월_계_80~89세","2026년07월_계_90~99세","2026년07월_계_100세 이상","2026년07월_남_총인구수","2026년07월_남_연령구간인구수","2026년07월_남_0~9세","2026년07월_남_10~19세","2026년07월_남_20~29세","2026년07월_남_30~39세","2026년07월_남_40~49세","2026년07월_남_50~59세","2026년07월_남_60~69세","2026년07월_남_70~79세","2026년07월_남_80~89세","2026년07월_남_90~99세","2026년07월_남_100세 이상","2026년07월_여_총인구수","2026년07월_여_연령구간인구수","2026년07월_여_0~9세","2026년07월_여_10~19세","2026년07월_여_20~29세","2026년07월_여_30~39세","2026년07월_여_40~49세","2026년07월_여_50~59세","2026년07월_여_60~69세","2026년07월_여_70~79세","2026년07월_여_80~89세","2026년07월_여_90~99세","2026년07월_여_100세 이상"
"경기도 군포시 (4141000000)","249,253","249,253","11,776","21,857","28,870","33,992","34,769","44,591","41,750","20,303","9,313","1,993","39","123,460","123,460","5,994","11,321","15,146","18,207","17,492","21,530","20,172","9,579","3,476","532","11","125,793","125,793","5,782","10,536","13,724","15,785","17,277","23,061","21,578","10,724","5,837","1,461","28"
"경기도 의왕시 (4143000000)","165,701","165,701","11,670","13,490","17,455","25,837","22,908","27,197","27,314","13,291","5,404","1,097","38","81,741","81,741","6,036","6,863","9,002","13,193","11,736","12,845","13,196","6,450","2,160","254","6","83,960","83,960","5,634","6,627","8,453","12,644","11,172","14,352","14,118","6,841","3,244","843","32"
"경기도 하남시 (4145000000)","327,423","327,423","25,380","34,047","32,274","48,572","59,376","50,033","42,645","25,031","8,555","1,465","45","162,329","162,329","13,194","17,076","15,972","23,983","29,979","25,499","20,627","12,038","3,609","346","6","165,094","165,094","12,186","16,971","16,302","24,589","29,397","24,534","22,018","12,993","4,946","1,119","39"
"경기도 용인시 (4146000000)","1,090,559","1,090,559","70,462","121,816","124,729","138,417","177,953","192,829","135,795","80,836","40,726","6,839","157","540,293","540,293","35,879","62,138","65,296","70,777","87,351","95,803","67,497","36,098","17,254","2,168","32","550,266","550,266","34,583","59,678","59,433","67,640","90,602","97,026","68,298","44,738","23,472","4,671","125"
"경기도 용인시 처인구 (4146100000)","287,270","287,270","17,523","28,029","32,084","37,708","44,179","49,816","43,440","22,713","9,879","1,864","35","147,059","147,059","8,909","14,387","17,581","20,385","23,158","25,598","21,998","10,784","3,774","479","6","140,211","140,211","8,614","13,642","14,503","17,323","21,021","24,218","21,442","11,929","6,105","1,385","29"
"경기도 용인시 기흥구 (4146300000)","434,408","434,408","26,084","48,277","52,300","52,979","69,235","80,425","52,940","32,204","17,017","2,875","72","213,804","213,804","13,337","24,684","27,355","27,231","33,506","39,387","25,982","14,130","7,219","956","17","220,604","220,604","12,747","23,593","24,945","25,748","35,729","41,038","26,958","18,074","9,798","1,919","55"
"경기도 용인시 수지구 (4146500000)","368,881","368,881","26,855","45,510","40,345","47,730","64,539","62,588","39,415","25,919","13,830","2,100","50","179,430","179,430","13,633","23,067","20,360","23,161","30,687","30,818","19,517","11,184","6,261","733","9","189,451","189,451","13,222","22,443","19,985","24,569","33,852","31,770","19,898","14,735","7,569","1,367","41"
"경기도 파주시 (4148000000)","534,503","534,503","38,133","56,069","54,432","74,606","88,552","90,248","71,427","37,638","19,755","3,564","79","268,854","268,854","19,448","28,548","28,738","38,331","45,986","46,181","36,012","17,237","7,419","933","21","265,649","265,649","18,685","27,521","25,694","36,275","42,566","44,067","35,415","20,401","12,336","2,631","58"
"경기도 이천시 (4150000000)","225,911","225,911","13,364","22,717","26,333","31,685","33,438","37,073","34,168","17,589","8,036","1,470","38","118,104","118,104","6,968","11,708","15,061","17,967","17,616","19,212","17,565","8,503","3,099","393","12","107,807","107,807","6,396","11,009","11,272","13,718","15,822","17,861","16,603","9,086","4,937","1,077","26"
"경기도 안성시 (4155000000)","199,314","199,314","10,201","18,086","21,906","23,866","28,992","34,487","32,565","18,514","8,904","1,751","42","103,176","103,176","5,301","9,301","12,010","13,472","15,652","18,117","16,680","8,869","3,349","419","6","96,138","96,138","4,900","8,785","9,896","10,394","13,340","16,370","15,885","9,645","5,555","1,332","36"
"경기도 김포시 (4157000000)","483,964","483,964","35,753","56,753","45,351","61,501","90,491","77,188","62,601","36,235","15,444","2,586","61","241,255","241,255","18,452","28,800","23,093","30,681","45,522","39,801","31,057","16,802","6,358","676","13","242,709","242,709","17,301","27,953","22,258","30,820","44,969","37,387","31,544","19,433","9,086","1,910","48"
"경기도 화성시 (4159000000)","999,673","999,673","88,045","118,550","108,222","165,860","186,700","154,060","105,459","48,963","19,918","3,812","84","517,832","517,832","44,978","60,327","57,758","88,401","97,562","81,653","54,995","23,562","7,672","913","11","481,841","481,841","43,067","58,223","50,464","77,459","89,138","72,407","50,464","25,401","12,246","2,899","73"
"경기도 화성시 만세구 (4159100000)","234,363","234,363","15,420","23,274","23,192","31,665","39,450","39,681","35,171","17,105","7,749","1,624","32","127,802","127,802","7,890","11,942","13,479","18,452","22,107","22,686","19,267","8,627","2,947","399","6","106,561","106,561","7,530","11,332","9,713","13,213","17,343","16,995","15,904","8,478","4,802","1,225","26"
"경기도 화성시 효행구 (4159300000)","160,788","160,788","13,416","15,659","16,554","26,016","26,371","25,948","21,053","10,453","4,386","903","29","82,906","82,906","6,758","7,870","8,650","13,849","14,096","13,713","11,020","5,088","1,677","183","2","77,882","77,882","6,658","7,789","7,904","12,167","12,275","12,235","10,033","5,365","2,709","720","27"
"경기도 화성시 병점구 (4159500000)","175,045","175,045","14,214","18,526","21,996","29,569","30,895","27,859","18,801","9,009","3,607","559","10","90,546","90,546","7,312","9,530","12,005","16,222","16,286","14,193","9,336","4,130","1,384","146","2","84,499","84,499","6,902","8,996","9,991","13,347","14,609","13,666","9,465","4,879","2,223","413","8"
"경기도 화성시 동탄구 (4159700000)","429,477","429,477","44,995","61,091","46,480","78,610","89,984","60,572","30,434","12,396","4,176","726","13","216,578","216,578","23,018","30,985","23,624","39,878","45,073","31,061","15,372","5,717","1,664","185","1","212,899","212,899","21,977","30,106","22,856","38,732","44,911","29,511","15,062","6,679","2,512","541","12"
"경기도 광주시 (4161000000)","400,323","400,323","25,935","36,554","37,690","51,702","67,192","70,627","62,773","33,005","12,733","2,055","57","203,698","203,698","13,204","18,734","19,938","27,183","35,228","36,319","31,310","15,999","5,244","525","14","196,625","196,625","12,731","17,820","17,752","24,519","31,964","34,308","31,463","17,006","7,489","1,530","43"
"경기도 양주시 (4163000000)","297,352","297,352","22,180","29,218","30,180","40,111","46,504","50,288","42,281","23,553","11,042","1,942","53","149,266","149,266","11,368","14,689","15,838","20,644","23,903","25,524","21,382","11,047","4,345","515","11","148,086","148,086","10,812","14,529","14,342","19,467","22,601","24,764","20,899","12,506","6,697","1,427","42"
"경기도 포천시 (4165000000)","140,454","140,454","5,461","9,635","13,652","14,052","15,240","25,627","31,131","16,013","8,037","1,554","52","74,358","74,358","2,870","5,085","7,764","8,063","8,312","13,799","16,949","8,134","3,004","367","11","66,096","66,096","2,591","4,550","5,888","5,989","6,928","11,828","14,182","7,879","5,033","1,187","41"
"경기도 여주시 (4167000000)","113,383","113,383","5,010","8,820","9,495","11,218","14,306","19,800","22,901","14,082","6,463","1,260","28","57,822","57,822","2,536","4,661","5,189","6,132","7,377","10,198","11,824","6,998","2,587","318","2","55,561","55,561","2,474","4,159","4,306","5,086","6,929","9,602","11,077","7,084","3,876","942","26"
"경기도 연천군 (4180000000)","43,107","43,107","1,826","2,777","4,399","4,246","4,226","6,449","9,245","5,990","3,328","611","10","22,644","22,644","922","1,434","2,718","2,514","2,299","3,492","4,850","2,973","1,262","178","2","20,463","20,463","904","1,343","1,681","1,732","1,927","2,957","4,395","3,017","2,066","433","8"
"경기도 가평군 (4182000000)","62,048","62,048","2,395","4,040","5,117","5,353","6,722","10,285","13,946","9,026","4,344","794","26","31,881","31,881","1,227","2,058","2,863","2,984","3,562","5,444","7,267","4,481","1,792","196","7","30,167","30,167","1,168","1,982","2,254","2,369","3,160","4,841","6,679","4,545","2,552","598","19"
"경기도 양평군 (4183000000)","126,995","126,995","5,401","10,025","8,738","10,428","15,008","21,058","27,955","18,418","8,308","1,617","39","63,925","63,925","2,780","5,307","4,905","5,467","7,442","10,761","14,122","9,138","3,585","416","2","63,070","63,070","2,621","4,718","3,833","4,961","7,566","10,297","13,833","9,280","4,723","1,201","37"
"강원특별자치도  (5100000000)","1,507,224","1,507,224","78,751","124,513","144,976","159,345","192,202","254,399","281,980","166,469","88,380","15,749","460","758,271","758,271","40,203","64,376","81,280","85,836","98,048","130,934","141,617","78,895","33,310","3,679","93","748,953","748,953","38,548","60,137","63,696","73,509","94,154","123,465","140,363","87,574","55,070","12,070","367"
"동해출장소  (5110500000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원특별자치도 춘천시 (5111000000)","284,853","284,853","16,835","25,561","34,334","34,962","38,292","45,878","45,562","26,009","14,629","2,729","62","140,278","140,278","8,565","13,162","18,313","18,264","19,044","22,743","22,106","11,933","5,476","652","20","144,575","144,575","8,270","12,399","16,021","16,698","19,248","23,135","23,456","14,076","9,153","2,077","42"
"강원특별자치도 원주시 (5113000000)","365,218","365,218","23,339","34,481","38,044","47,545","53,352","62,049","59,012","29,595","14,924","2,817","60","180,879","180,879","11,904","17,578","20,400","24,589","26,555","30,525","29,137","13,926","5,593","659","13","184,339","184,339","11,435","16,903","17,644","22,956","26,797","31,524","29,875","15,669","9,331","2,158","47"
"강원특별자치도 강릉시 (5115000000)","205,593","205,593","9,871","16,335","19,725","20,684","26,576","36,080","37,560","23,835","12,552","2,306","69","101,939","101,939","5,122","8,534","10,983","11,113","13,486","18,370","18,201","10,837","4,721","565","7","103,654","103,654","4,749","7,801","8,742","9,571","13,090","17,710","19,359","12,998","7,831","1,741","62"
"강원특별자치도 동해시 (5117000000)","85,577","85,577","4,455","7,779","7,258","8,056","11,645","15,706","15,240","9,797","4,850","772","19","43,364","43,364","2,276","4,058","4,279","4,484","5,963","8,238","7,452","4,567","1,867","178","2","42,213","42,213","2,179","3,721","2,979","3,572","5,682","7,468","7,788","5,230","2,983","594","17"
"강원특별자치도 태백시 (5119000000)","36,755","36,755","1,385","3,150","2,580","2,681","4,674","6,572","7,334","5,421","2,595","349","14","18,603","18,603","712","1,672","1,487","1,508","2,413","3,630","3,735","2,420","949","74","3","18,152","18,152","673","1,478","1,093","1,173","2,261","2,942","3,599","3,001","1,646","275","11"
"강원특별자치도 속초시 (5121000000)","78,976","78,976","4,029","6,506","6,555","8,636","10,553","14,137","15,108","8,667","4,060","702","23","39,022","39,022","2,103","3,281","3,637","4,785","5,348","6,942","7,288","3,952","1,505","176","5","39,954","39,954","1,926","3,225","2,918","3,851","5,205","7,195","7,820","4,715","2,555","526","18"
"강원특별자치도 삼척시 (5123000000)","60,139","60,139","2,650","4,518","5,710","4,589","6,709","10,351","12,140","8,070","4,477","897","28","30,771","30,771","1,366","2,338","3,321","2,518","3,586","5,805","6,217","3,835","1,566","215","4","29,368","29,368","1,284","2,180","2,389","2,071","3,123","4,546","5,923","4,235","2,911","682","24"
"강원특별자치도 홍천군 (5172000000)","65,810","65,810","2,640","4,304","4,663","5,389","6,606","10,518","16,047","9,669","4,944","997","33","33,946","33,946","1,332","2,183","2,783","3,086","3,456","5,581","8,389","5,004","1,906","217","9","31,864","31,864","1,308","2,121","1,880","2,303","3,150","4,937","7,658","4,665","3,038","780","24"
"강원특별자치도 횡성군 (5173000000)","45,521","45,521","1,493","3,186","2,737","2,773","4,140","7,296","12,038","7,335","3,804","701","18","23,588","23,588","780","1,709","1,568","1,521","2,228","3,906","6,348","3,821","1,544","163","0","21,933","21,933","713","1,477","1,169","1,252","1,912","3,390","5,690","3,514","2,260","538","18"
"강원특별자치도 영월군 (5175000000)","35,685","35,685","1,147","2,369","2,277","2,199","3,508","6,057","8,845","5,670","3,075","526","12","18,502","18,502","612","1,309","1,333","1,211","1,852","3,321","4,747","2,838","1,146","129","4","17,183","17,183","535","1,060","944","988","1,656","2,736","4,098","2,832","1,929","397","8"
"강원특별자치도 평창군 (5176000000)","39,865","39,865","1,186","2,462","2,634","2,499","3,954","7,083","10,167","6,229","3,158","475","18","20,705","20,705","570","1,280","1,584","1,413","2,111","3,846","5,384","3,130","1,278","107","2","19,160","19,160","616","1,182","1,050","1,086","1,843","3,237","4,783","3,099","1,880","368","16"
"강원특별자치도 정선군 (5177000000)","35,144","35,144","1,005","2,062","2,385","2,300","3,900","6,634","8,485","5,233","2,712","401","27","18,491","18,491","480","1,070","1,331","1,328","2,231","3,826","4,566","2,557","1,004","91","7","16,653","16,653","525","992","1,054","972","1,669","2,808","3,919","2,676","1,708","310","20"
"강원특별자치도 철원군 (5178000000)","39,665","39,665","2,197","2,989","3,928","4,105","4,368","6,118","7,689","4,835","3,007","412","17","20,466","20,466","1,095","1,556","2,474","2,391","2,269","3,278","3,991","2,185","1,124","102","1","19,199","19,199","1,102","1,433","1,454","1,714","2,099","2,840","3,698","2,650","1,883","310","16"
"강원특별자치도 화천군 (5179000000)","22,773","22,773","1,203","1,611","2,819","2,512","2,224","3,314","4,515","2,623","1,657","279","16","12,223","12,223","584","814","1,863","1,546","1,196","1,769","2,451","1,315","621","59","5","10,550","10,550","619","797","956","966","1,028","1,545","2,064","1,308","1,036","220","11"
"강원특별자치도 양구군 (5180000000)","20,372","20,372","1,161","1,835","2,113","2,187","2,245","3,008","4,023","2,208","1,349","241","2","10,725","10,725","577","937","1,362","1,271","1,168","1,633","2,118","1,086","522","51","0","9,647","9,647","584","898","751","916","1,077","1,375","1,905","1,122","827","190","2"
"강원특별자치도 인제군 (5181000000)","30,778","30,778","1,887","2,100","3,284","3,731","3,601","4,554","6,198","3,277","1,816","316","14","16,876","16,876","978","1,124","2,197","2,274","1,976","2,575","3,298","1,673","715","63","3","13,902","13,902","909","976","1,087","1,457","1,625","1,979","2,900","1,604","1,101","253","11"
"강원특별자치도 고성군 (5182000000)","27,190","27,190","1,195","1,590","2,143","2,478","2,766","4,484","5,916","3,829","2,390","384","15","13,931","13,931","597","858","1,301","1,426","1,502","2,444","3,051","1,817","855","75","5","13,259","13,259","598","732","842","1,052","1,264","2,040","2,865","2,012","1,535","309","10"
"강원특별자치도 양양군 (5183000000)","27,310","27,310","1,073","1,675","1,787","2,019","3,089","4,560","6,101","4,167","2,381","445","13","13,962","13,962","550","913","1,064","1,108","1,664","2,502","3,138","1,999","918","103","3","13,348","13,348","523","762","723","911","1,425","2,058","2,963","2,168","1,463","342","10"
"충청북도  (4300000000)","1,601,156","1,601,156","91,043","142,998","164,692","194,938","219,969","269,934","272,640","154,193","75,750","14,684","315","816,632","816,632","46,763","73,661","91,121","108,111","114,971","138,609","138,620","73,492","27,846","3,389","49","784,524","784,524","44,280","69,337","73,571","86,827","104,998","131,325","134,020","80,701","47,904","11,295","266"
"충청북도 청주시 (4311000000)","859,869","859,869","57,364","84,495","101,364","124,183","129,793","142,193","122,428","63,601","28,880","5,460","108","435,136","435,136","29,323","43,277","54,991","68,018","66,943","70,905","60,336","29,472","10,577","1,280","14","424,733","424,733","28,041","41,218","46,373","56,165","62,850","71,288","62,092","34,129","18,303","4,180","94"
"충청북도 청주시 상당구 (4311100000)","192,850","192,850","12,392","19,431","19,169","23,708","28,372","33,260","30,688","16,587","7,765","1,449","29","95,730","95,730","6,271","10,018","10,276","12,389","14,308","16,387","15,167","7,738","2,826","345","5","97,120","97,120","6,121","9,413","8,893","11,319","14,064","16,873","15,521","8,849","4,939","1,104","24"
"충청북도 청주시 서원구 (4311200000)","187,809","187,809","9,815","17,198","24,462","23,152","24,889","33,521","29,868","16,170","7,370","1,333","31","93,601","93,601","5,063","8,796","13,171","12,659","12,552","16,304","14,591","7,353","2,782","327","3","94,208","94,208","4,752","8,402","11,291","10,493","12,337","17,217","15,277","8,817","4,588","1,006","28"
"충청북도 청주시 흥덕구 (4311300000)","293,157","293,157","22,979","27,849","35,983","50,691","46,029","46,350","37,181","17,475","7,175","1,417","28","149,768","149,768","11,669","14,276","19,512","27,795","23,986","23,134","18,252","8,198","2,605","338","3","143,389","143,389","11,310","13,573","16,471","22,896","22,043","23,216","18,929","9,277","4,570","1,079","25"
"충청북도 청주시 청원구 (4311400000)","186,053","186,053","12,178","20,017","21,750","26,632","30,503","29,062","24,691","13,369","6,570","1,261","20","96,037","96,037","6,320","10,187","12,032","15,175","16,097","15,080","12,326","6,183","2,364","270","3","90,016","90,016","5,858","9,830","9,718","11,457","14,406","13,982","12,365","7,186","4,206","991","17"
"충청북도 충주시 (4313000000)","205,872","205,872","10,432","17,236","19,686","22,469","26,895","35,574","38,083","21,855","11,387","2,203","52","104,527","104,527","5,413","8,881","11,179","12,756","13,968","18,043","19,309","10,266","4,187","511","14","101,345","101,345","5,019","8,355","8,507","9,713","12,927","17,531","18,774","11,589","7,200","1,692","38"
"충청북도 제천시 (4315000000)","128,043","128,043","5,828","10,849","12,647","11,344","14,909","22,045","25,469","15,852","7,754","1,311","35","64,648","64,648","3,056","5,555","7,039","6,298","7,765","11,295","12,792","7,622","2,916","308","2","63,395","63,395","2,772","5,294","5,608","5,046","7,144","10,750","12,677","8,230","4,838","1,003","33"
"충청북도 보은군 (4372000000)","31,480","31,480","953","1,778","1,870","1,909","2,751","4,903","8,049","5,398","3,082","775","12","16,046","16,046","495","931","1,088","1,079","1,490","2,712","4,314","2,673","1,090","172","2","15,434","15,434","458","847","782","830","1,261","2,191","3,735","2,725","1,992","603","10"
"충청북도 옥천군 (4373000000)","50,660","50,660","1,645","3,490","3,820","3,487","5,242","8,713","11,490","7,859","3,989","905","20","25,770","25,770","845","1,839","2,179","1,899","2,725","4,613","6,087","3,910","1,437","230","6","24,890","24,890","800","1,651","1,641","1,588","2,517","4,100","5,403","3,949","2,552","675","14"
"충청북도 영동군 (4374000000)","43,029","43,029","1,257","2,688","2,838","2,622","3,769","7,294","10,457","7,171","4,142","775","16","21,755","21,755","645","1,409","1,577","1,464","2,018","4,029","5,442","3,482","1,500","187","2","21,274","21,274","612","1,279","1,261","1,158","1,751","3,265","5,015","3,689","2,642","588","14"
"충청북도 증평군 (4374500000)","36,758","36,758","2,142","3,402","3,499","4,486","5,222","6,181","6,162","3,590","1,742","325","7","19,158","19,158","1,089","1,760","2,071","2,517","2,849","3,304","3,154","1,711","631","70","2","17,600","17,600","1,053","1,642","1,428","1,969","2,373","2,877","3,008","1,879","1,111","255","5"
"충청북도 진천군 (4375000000)","85,590","85,590","5,542","8,402","7,250","10,643","13,622","14,652","13,724","7,195","3,739","804","17","45,306","45,306","2,895","4,338","4,205","6,083","7,385","8,041","7,356","3,501","1,348","153","1","40,284","40,284","2,647","4,064","3,045","4,560","6,237","6,611","6,368","3,694","2,391","651","16"
"충청북도 괴산군 (4376000000)","37,267","37,267","1,006","1,733","2,084","2,091","3,083","6,136","10,288","6,608","3,535","689","14","19,330","19,330","526","887","1,232","1,179","1,705","3,398","5,548","3,391","1,310","153","1","17,937","17,937","480","846","852","912","1,378","2,738","4,740","3,217","2,225","536","13"
"충청북도 음성군 (4377000000)","96,036","96,036","4,168","7,431","8,134","10,148","12,373","17,753","19,279","10,490","5,174","1,059","27","51,360","51,360","2,127","3,977","4,684","5,941","6,873","9,817","10,492","5,217","1,986","241","5","44,676","44,676","2,041","3,454","3,450","4,207","5,500","7,936","8,787","5,273","3,188","818","22"
"충청북도 단양군 (4380000000)","26,552","26,552","706","1,494","1,500","1,556","2,310","4,490","7,211","4,574","2,326","378","7","13,596","13,596","349","807","876","877","1,250","2,452","3,790","2,247","864","84","0","12,956","12,956","357","687","624","679","1,060","2,038","3,421","2,327","1,462","294","7"
"충청남도  (4400000000)","2,138,955","2,138,955","122,617","202,573","208,200","252,247","311,654","353,672","342,847","211,859","108,542","24,272","472","1,098,752","1,098,752","62,825","104,583","115,061","138,746","166,435","187,517","176,116","101,279","40,172","5,941","77","1,040,203","1,040,203","59,792","97,990","93,139","113,501","145,219","166,155","166,731","110,580","68,370","18,331","395"
"충청남도 천안시 (4413000000)","666,442","666,442","42,394","68,105","84,254","98,498","108,876","111,820","88,461","42,025","18,325","3,621","63","341,881","341,881","21,740","34,860","44,929","53,601","57,519","56,848","44,887","19,888","6,780","820","9","324,561","324,561","20,654","33,245","39,325","44,897","51,357","54,972","43,574","22,137","11,545","2,801","54"
"충청남도 천안시 동남구 (4413100000)","263,741","263,741","14,173","25,018","32,324","33,218","38,697","46,193","41,363","21,325","9,458","1,936","36","133,660","133,660","7,239","12,779","17,082","18,074","20,093","23,449","20,785","10,147","3,568","438","6","130,081","130,081","6,934","12,239","15,242","15,144","18,604","22,744","20,578","11,178","5,890","1,498","30"
"충청남도 천안시 서북구 (4413300000)","402,701","402,701","28,221","43,087","51,930","65,280","70,179","65,627","47,098","20,700","8,867","1,685","27","208,221","208,221","14,501","22,081","27,847","35,527","37,426","33,399","24,102","9,741","3,212","382","3","194,480","194,480","13,720","21,006","24,083","29,753","32,753","32,228","22,996","10,959","5,655","1,303","24"
"충청남도 공주시 (4415000000)","99,619","99,619","3,411","7,790","10,017","7,904","10,777","16,136","20,524","13,960","7,310","1,749","41","49,715","49,715","1,785","4,020","5,033","4,393","5,648","8,407","10,411","6,859","2,700","449","10","49,904","49,904","1,626","3,770","4,984","3,511","5,129","7,729","10,113","7,101","4,610","1,300","31"
"충청남도 보령시 (4418000000)","91,144","91,144","3,729","6,870","6,689","7,358","10,847","15,654","18,388","13,371","6,784","1,415","39","46,220","46,220","1,906","3,535","3,828","4,142","5,912","8,438","9,393","6,204","2,542","315","5","44,924","44,924","1,823","3,335","2,861","3,216","4,935","7,216","8,995","7,167","4,242","1,100","34"
"충청남도 아산시 (4420000000)","364,270","364,270","28,355","41,310","37,465","52,823","64,977","57,068","44,222","24,128","11,543","2,343","36","189,981","189,981","14,482","21,318","20,870","28,438","35,025","30,678","23,014","11,274","4,308","567","7","174,289","174,289","13,873","19,992","16,595","24,385","29,952","26,390","21,208","12,854","7,235","1,776","29"
"충청남도 서산시 (4421000000)","171,093","171,093","9,965","16,602","14,964","19,271","24,686","29,715","27,673","16,946","8,950","2,275","46","89,586","89,586","5,127","8,629","9,044","11,208","13,194","15,887","14,249","8,241","3,432","570","5","81,507","81,507","4,838","7,973","5,920","8,063","11,492","13,828","13,424","8,705","5,518","1,705","41"
"충청남도 논산시 (4423000000)","105,815","105,815","4,513","8,122","8,156","8,960","11,871","17,716","21,286","15,078","8,196","1,879","38","53,177","53,177","2,340","4,218","4,581","4,938","6,211","9,495","10,883","7,163","2,910","432","6","52,638","52,638","2,173","3,904","3,575","4,022","5,660","8,221","10,403","7,915","5,286","1,447","32"
"충청남도 계룡시 (4425000000)","45,983","45,983","3,223","6,001","4,330","5,275","7,760","8,340","6,221","3,262","1,277","289","5","22,844","22,844","1,645","3,109","2,438","2,729","3,772","4,083","2,984","1,566","453","63","2","23,139","23,139","1,578","2,892","1,892","2,546","3,988","4,257","3,237","1,696","824","226","3"
"충청남도 당진시 (4427000000)","172,472","172,472","11,017","16,986","13,709","20,408","27,426","29,073","27,085","16,225","8,589","1,918","36","92,786","92,786","5,618","8,823","8,126","11,882","15,460","16,536","14,641","7,898","3,287","509","6","79,686","79,686","5,399","8,163","5,583","8,526","11,966","12,537","12,444","8,327","5,302","1,409","30"
"충청남도 금산군 (4471000000)","48,847","48,847","1,449","3,908","3,066","2,903","4,784","8,334","11,200","7,874","4,424","887","18","24,875","24,875","725","2,077","1,783","1,560","2,508","4,600","5,936","3,889","1,561","234","2","23,972","23,972","724","1,831","1,283","1,343","2,276","3,734","5,264","3,985","2,863","653","16"
"충청남도 부여군 (4476000000)","57,687","57,687","1,503","3,718","3,444","3,355","5,288","9,000","13,152","10,486","6,176","1,528","37","28,750","28,750","793","1,997","1,935","1,828","2,884","4,896","6,737","5,006","2,285","382","7","28,937","28,937","710","1,721","1,509","1,527","2,404","4,104","6,415","5,480","3,891","1,146","30"
"충청남도 서천군 (4477000000)","46,635","46,635","1,312","2,750","2,678","2,691","4,177","7,379","10,382","8,833","5,154","1,261","18","23,240","23,240","668","1,415","1,531","1,516","2,306","4,042","5,394","4,171","1,880","315","2","23,395","23,395","644","1,335","1,147","1,175","1,871","3,337","4,988","4,662","3,274","946","16"
"충청남도 청양군 (4479000000)","30,032","30,032","795","1,883","2,209","1,744","2,521","4,648","7,117","5,196","3,118","792","9","15,455","15,455","396","1,003","1,318","985","1,433","2,644","3,738","2,596","1,118","221","3","14,577","14,577","399","880","891","759","1,088","2,004","3,379","2,600","2,000","571","6"
"충청남도 홍성군 (4480000000)","101,743","101,743","6,004","9,516","8,230","10,723","13,333","16,339","17,278","12,108","6,583","1,603","26","50,987","50,987","3,081","4,883","4,509","5,798","6,791","8,692","8,730","5,732","2,344","423","4","50,756","50,756","2,923","4,633","3,721","4,925","6,542","7,647","8,548","6,376","4,239","1,180","22"
"충청남도 예산군 (4481000000)","78,168","78,168","3,135","5,381","5,258","6,486","8,265","12,728","16,362","12,239","6,765","1,512","37","39,310","39,310","1,584","2,842","2,955","3,489","4,438","6,945","8,304","5,873","2,496","379","5","38,858","38,858","1,551","2,539","2,303","2,997","3,827","5,783","8,058","6,366","4,269","1,133","32"
"충청남도 태안군 (4482500000)","59,005","59,005","1,812","3,631","3,731","3,848","6,066","9,722","13,496","10,128","5,348","1,200","23","29,945","29,945","935","1,854","2,181","2,239","3,334","5,326","6,815","4,919","2,076","262","4","29,060","29,060","877","1,777","1,550","1,609","2,732","4,396","6,681","5,209","3,272","938","19"
"전북특별자치도  (5200000000)","1,717,841","1,717,841","84,685","157,787","167,510","172,989","223,021","295,852","294,443","196,179","103,488","21,411","476","856,181","856,181","43,228","81,433","90,961","91,222","113,869","153,228","148,472","91,493","37,188","5,029","58","861,660","861,660","41,457","76,354","76,549","81,767","109,152","142,624","145,971","104,686","66,300","16,382","418"
"전북특별자치도 전주시 (5211000000)","619,849","619,849","35,254","65,574","74,425","74,224","90,359","106,856","89,179","54,425","24,949","4,516","88","303,956","303,956","18,008","33,587","39,162","38,590","44,495","52,548","42,351","24,426","9,591","1,187","11","315,893","315,893","17,246","31,987","35,263","35,634","45,864","54,308","46,828","29,999","15,358","3,329","77"
"전북특별자치도 전주시 완산구 (5211100000)","313,004","313,004","15,313","30,777","37,711","36,363","42,867","55,460","48,728","29,901","13,296","2,535","53","151,617","151,617","7,865","15,799","19,661","18,935","20,889","26,584","22,767","13,459","5,026","625","7","161,387","161,387","7,448","14,978","18,050","17,428","21,978","28,876","25,961","16,442","8,270","1,910","46"
"전북특별자치도 전주시 덕진구 (5211300000)","306,845","306,845","19,941","34,797","36,714","37,861","47,492","51,396","40,451","24,524","11,653","1,981","35","152,339","152,339","10,143","17,788","19,501","19,655","23,606","25,964","19,584","10,967","4,565","562","4","154,506","154,506","9,798","17,009","17,213","18,206","23,886","25,432","20,867","13,557","7,088","1,419","31"
"전북특별자치도 군산시 (5213000000)","255,537","255,537","13,352","24,958","23,474","25,838","37,408","45,474","42,198","27,921","12,581","2,280","53","129,711","129,711","6,720","12,868","13,179","13,891","19,502","23,918","21,253","13,110","4,706","559","5","125,826","125,826","6,632","12,090","10,295","11,947","17,906","21,556","20,945","14,811","7,875","1,721","48"
