"행정구역","2026년07월_계_총인구수","2026년07월_계_연령구간인구수","2026년07월_계_0~9세","2026년07월_계_10~19세","2026년07월_계_20~29세","2026년07월_계_30~39세","2026년07월_계_40~49세","2026년07월_계_50~59세","2026년07월_계_60~69세","2026년07월_계_70~79세","2026년07월_계_80~89세","2026년07월_계_90~99세","2026년07월_계_100세 이상","2026년07월_남_총인구수","2026년07월_남_연령구간인구수","2026년07월_남_0~9세","2026년07월_남_10~19세","2026년07월_남_20~29세","2026년07월_남_30~39세","2026년07월_남_40~49세","2026년07월_남_50~59세","2026년07월_남_60~69세","2026년07월_남_70~79세","2026년07월_남_80~89세","2026년07월_남_90~99세","2026년07월_남_100세 이상","2026년07월_여_총인구수","2026년07월_여_연령구간인구수","2026년07월_여_0~9세","2026년07월_여_10~19세","2026년07월_여_20~29세","2026년07월_여_30~39세","2026년07월_여_40~49세","2026년07월_여_50~59세","2026년07월_여_60~69세","2026년07월_여_70~79세","2026년07월_여_80~89세","2026년07월_여_90~99세","2026년07월_여_100세 이상"
"대전광역시 서구 (3017000000)","464,428","464,428","27,002","46,071","62,616","66,696","68,756","76,816","63,869","35,493","14,442","2,610","57","227,468","227,468","13,905","23,643","31,250","34,843","33,746","37,189","30,281","16,298","5,657","648","8","236,960","236,960","13,097","22,428","31,366","31,853","35,010","39,627","33,588","19,195","8,785","1,962","49"
"대전광역시 유성구 (3020000000)","371,855","371,855","28,560","38,708","52,213","59,431","58,280","59,153","45,013","20,815","7,969","1,670","43","188,459","188,459","14,746","19,833","28,334","31,815","28,962","29,114","22,138","10,092","3,038","380","7","183,396","183,396","13,814","18,875","23,879","27,616","29,318","30,039","22,875","10,723","4,931","1,290","36"
"대전광역시 대덕구 (3023000000)","163,823","163,823","7,304","13,070","18,122","19,318","20,806","31,123","29,861","16,089","6,903","1,198","29","83,086","83,086","3,705","6,751","9,959","10,875","10,966","15,694","14,831","7,415","2,578","309","3","80,737","80,737","3,599","6,319","8,163","8,443","9,840","15,429","15,030","8,674","4,325","889","26"
"울산광역시  (3100000000)","1,086,756","1,086,756","64,886","108,874","106,338","137,002","167,023","194,964","181,998","90,451","30,465","4,654","101","560,290","560,290","33,214","56,539","61,418","76,215","87,000","97,441","92,188","43,550","11,712","1,004","9","526,466","526,466","31,672","52,335","44,920","60,787","80,023","97,523","89,810","46,901","18,753","3,650","92"
"울산광역시 중구 (3111000000)","202,823","202,823","11,176","18,759","18,144","24,481","29,375","35,832","36,669","20,321","7,092","962","12","102,466","102,466","5,767","9,796","10,300","13,322","15,242","17,613","18,074","9,363","2,764","225","0","100,357","100,357","5,409","8,963","7,844","11,159","14,133","18,219","18,595","10,958","4,328","737","12"
"울산광역시 남구 (3114000000)","304,418","304,418","17,634","27,900","33,209","42,845","44,502","54,845","49,892","24,692","7,793","1,077","29","155,903","155,903","9,082","14,557","18,963","23,859","22,855","26,684","24,802","11,742","3,085","271","3","148,515","148,515","8,552","13,343","14,246","18,986","21,647","28,161","25,090","12,950","4,708","806","26"
"울산광역시 동구 (3117000000)","147,633","147,633","8,405","16,183","13,833","16,728","25,718","23,971","25,054","13,571","3,696","458","16","77,339","77,339","4,282","8,402","7,940","9,661","13,922","12,638","12,124","6,764","1,522","84","0","70,294","70,294","4,123","7,781","5,893","7,067","11,796","11,333","12,930","6,807","2,174","374","16"
"울산광역시 북구 (3120000000)","213,512","213,512","16,192","25,538","20,364","29,174","37,250","37,585","30,930","11,759","4,022","683","15","111,207","111,207","8,288","13,225","12,209","16,214","19,062","18,547","16,333","5,714","1,493","118","4","102,305","102,305","7,904","12,313","8,155","12,960","18,188","19,038","14,597","6,045","2,529","565","11"
"울산광역시 울주군 (3171000000)","218,370","218,370","11,479","20,494","20,788","23,774","30,178","42,731","39,453","20,108","7,862","1,474","29","113,375","113,375","5,795","10,559","12,006","13,159","15,919","21,959","20,855","9,967","2,848","306","2","104,995","104,995","5,684","9,935","8,782","10,615","14,259","20,772","18,598","10,141","5,014","1,168","27"
"세종특별자치시  (3600000000)","390,972","390,972","37,155","54,265","36,117","56,759","75,732","60,193","39,873","20,580","8,397","1,868","33","194,725","194,725","18,892","27,513","18,660","28,138","36,992","31,180","19,784","9,914","3,225","420","7","196,247","196,247","18,263","26,752","17,457","28,621","38,740","29,013","20,089","10,666","5,172","1,448","26"
