기관코드,병원명,주소,시도,시군구,HIRA병원명,암호화요양기호,매칭점수,매칭상태,응급의학과전문의수,HIRA주소
A2200014,홍천아산병원,강원특별자치도 홍천군 홍천읍 산림공원1길 17,강원특별자치도,홍천군,홍천아산병원,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjE4MzIjNjEjJDEjJDQjJDgz,1.0,자동매칭,0.0,
E2200025,화천군보건의료원,강원특별자치도 화천군 화천읍 강변로 111 (화천군보건의료원),강원특별자치도,화천군,화천군보건의료원,JDQ4MTYyMiM1MSMkMSMkNCMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjEwMDIjNjEjJDEjJDAjJDgz,1.0,자동매칭,0.0,
A2200016,횡성대성병원,강원특별자치도 횡성군 횡성읍 횡성로 275,강원특별자치도,횡성군,횡성대성병원,JDQ4MTYyMiM1MSMkMSMkNCMkOTkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjE0ODEjNjEjJDEjJDQjJDgz,1.0,자동매칭,0.0,
A2100282,에이치제이매그놀리아국제병원,경기도 가평군 설악면 미사리로 267-177,경기도,가평군,에이치제이매그놀리아국제병원,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ4OSQyNjE0ODEjNjEjJDEjJDAjJDgz,1.0,자동매칭,0.0,
A2100049,국립암센터,경기도 고양시 일산동구 일산로 323 (마두동),경기도,고양시,국립암센터,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQzNjE0ODEjNDEjJDEjJDgjJDgz,1.0,자동매칭,1.0,
A2100033,국민건강보험공단일산병원,"경기도 고양시 일산동구 일산로 100 (백석동,백석1동 1241외1필지 4층)",경기도,고양시,국민건강보험공단일산병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQzNjE4MzIjODEjJDEjJDIjJDgz,1.0,자동매칭,12.0,
A2100047,동국대학교일산불교병원,"경기도 고양시 일산동구 동국로 27 (식사동, 동국대학교일산병원)",경기도,고양시,동국대학교일산불교병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQ0NjE0ODEjNDEjJDEjJDgjJDgz,1.0,자동매칭,10.0,
A2100042,의료법인명지의료재단명지병원,경기도 고양시 덕양구 화수로14번길 55 (화정동),경기도,고양시,의료법인명지의료재단명지병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQzNjE4MzIjNjEjJDEjJDgjJDgz,1.0,수동검증,12.0,경기도 고양시 덕양구 화수로14번길 55
A2116972,의료법인성광의료재단일산차병원,"경기도 고양시 일산동구 중앙로 1205, 지하1층(일부),지하2층,지하4층(일부),1층(일부),2층(일부),3층(일부),4~5층,6층(일부), 7~10층 (장항동)",경기도,고양시,의료법인성광의료재단일산차병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQzNjE4MzIjNTEjJDEjJDIjJDgz,1.0,자동매칭,0.0,
A2100283,의료법인일산복음병원,"경기도 고양시 일산동구 고양대로 760, 가동 (중산동, 일산복음병원)",경기도,고양시,의료법인일산복음병원,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ2MiQyNjEwMDIjNzEjJDEjJDgjJDgz,1.0,자동매칭,0.0,
A2100290,의료법인자인의료재단(더자인병원),"경기도 고양시 덕양구 중앙로 555, /중앙로557번길 14, 지하1(일부),1-6층 (행신동)",경기도,고양시,의료법인자인의료재단(더자인병원),JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3MiQyNjE0ODEjNDEjJDEjJDQjJDgz,1.0,자동매칭,0.0,
A2100038,인제대학교일산백병원,경기도 고양시 일산서구 주화로 170 (대화동),경기도,고양시,인제대학교일산백병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQzNjEwMDIjNDEjJDEjJDgjJDgz,1.0,자동매칭,12.0,
A2100007,광명성애병원,"경기도 광명시 디지털로 36, 광명성애병원 (철산동)",경기도,광명시,광명성애병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEyMjIjODEjJDEjJDIjJDgz,1.0,자동매칭,10.0,
A2118788,중앙대학교광명병원,경기도 광명시 덕안로 110(일직동),경기도,광명시,중앙대학교광명병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ2MiQzNjE0ODEjNjEjJDEjJDQjJDgz,1.0,자동매칭,14.0,
A2100155,참조은병원,경기도 광주시 광주대로 45 (경안동),경기도,광주시,참조은병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ5OSQzNjE0ODEjNDEjJDEjJDgjJDgz,1.0,자동매칭,11.0,
A2100116,윤서병원,경기도 구리시 건원대로 47 (인창동),경기도,구리시,윤서병원,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ3OSQzNjEwMDIjODEjJDEjJDIjJDgz,1.0,자동매칭,0.0,
A2100039,한양대학교구리병원,경기도 구리시 경춘로 153 (교문동),경기도,구리시,한양대학교구리병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjE4MzIjODEjJDEjJDIjJDgz,1.0,자동매칭,8.0,
A2100048,원광대학교산본병원,경기도 군포시 산본로 321 (산본동),경기도,군포시,,,0.0,미매칭,,
A2100054,효산의료재단지샘병원,"경기도 군포시 군포로 591 (당동, (G샘병원)군포샘병원)",경기도,군포시,,,0.0,미매칭,,
A2100053,의료법인우리의료재단김포우리병원,"경기도 김포시 감암로 11, 김포우리병원 (걸포동)",경기도,김포시,의료법인우리의료재단김포우리병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQ0NjE0ODEjODEjJDEjJDYjJDgz,1.0,자동매칭,10.0,
A2100006,의료법인인봉의료재단뉴고려병원,"경기도 김포시 김포한강3로 283, 뉴고려병원 (장기동)",경기도,김포시,의료법인인봉의료재단뉴고려병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ4OSQyNjE0ODEjNDEjJDEjJDgjJDgz,1.0,자동매칭,10.0,
A2100041,남양주한양병원,경기도 남양주시 오남읍 양지로 47-55,경기도,남양주시,,,0.0,미매칭,,
A2118188,엘병원,"경기도 남양주시 퇴계원읍 퇴계원로 20, 지하2~지상7층 일부제외호",경기도,남양주시,엘병원,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQ3IyQ4MiQzNjEwMDIjODEjJDEjJDIjJDgz,1.0,자동매칭,5.0,
A2100208,원병원,경기도 남양주시 화도읍 경춘로 1943-16,경기도,남양주시,원병원,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQzIyQwMyQ0NjEwMDIjODEjJDEjJDYjJDgz,1.0,자동매칭,0.0,
A2100037,현대병원,경기도 남양주시 진접읍 봉현로 21,경기도,남양주시,현대병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQyNjE0ODEjNTEjJDEjJDYjJDgz,1.0,자동매칭,8.0,
A2120077,혜성병원,"경기도 남양주시 경춘로1308번길 4, 1층일부~10층 (평내동)",경기도,남양주시,혜성병원,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzIxIyQxIyQxIyQ2MiQ0NjE0ODEjNjEjJDEjJDAjJDgz,1.0,자동매칭,0.0,
A2100135,동두천중앙성모병원,경기도 동두천시 동광로 53 (생연동),경기도,동두천시,동두천중앙성모병원,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQzIyQ5MiQyNjE0ODEjNjEjJDEjJDAjJDgz,1.0,자동매칭,0.0,
A2100052,가톨릭대학교부천성모병원,"경기도 부천시 원미구 소사로 327, 가톨릭대학교 부천성모병원 (소사동)",경기도,부천시,가톨릭대학교부천성모병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNDEjJDEjJDQjJDgz,1.0,자동매칭,12.0,
A2100055,부천세종병원,"경기도 부천시 소사구 호현로489번길 28 (소사본동, 세종병원)",경기도,부천시,부천세종병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjEyMjIjNDEjJDEjJDgjJDgz,1.0,자동매칭,12.0,
A2100058,부천우리병원,경기도 부천시 오정구 소사로 726 (원종동),경기도,부천시,부천우리병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQ0NjE0ODEjNDEjJDEjJDgjJDgz,1.0,자동매칭,0.0,
A2100005,순천향대학교부속부천병원,"경기도 부천시 원미구 조마루로 170, 부흥로 173(1층일부) (중동)",경기도,부천시,순천향대학교부속부천병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQzNjEyMjIjNzEjJDEjJDgjJDgz,1.0,자동매칭,17.0,
A2100050,의료법인대인의료재단다니엘종합병원,"경기도 부천시 원미구 중동로 361, 다니엘종합병원 (약대동)",경기도,부천시,,,0.0,미매칭,,
A2100258,국군수도병원,경기도 성남시 분당구 새마을로177번길 81 (율동),경기도,성남시,국군수도병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQzNjEwMDIjODEjJDEjJDYjJDgz,1.0,자동매칭,8.0,
A2100025,대진의료재단분당제생병원,경기도 성남시 분당구 서현로180번길 20 (서현동),경기도,성남시,,,0.0,미매칭,,
A2106200,바른마디병원,경기도 성남시 중원구 광명로 330 (금광동),경기도,성남시,바른마디병원,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQyIyQ1IyQwMCQzNjEwMDIjNDEjJDEjJDgjJDgz,1.0,자동매칭,3.0,
A2100001,분당서울대학교병원,"경기도 성남시 분당구 구미로173번길 82 (구미동, 분당서울대학교병원)",경기도,성남시,분당서울대학교병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQyNjEwMDIjNTEjJDEjJDYjJDgz,1.0,자동매칭,16.0,
A2116806,성남시의료원,"경기도 성남시 수정구 수정로171번길 10, 성남시의료원 (태평동)",경기도,성남시,성남시의료원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQzNjEyMjIjNjEjJDEjJDAjJDgz,1.0,자동매칭,7.0,
A2100011,성남중앙병원,경기도 성남시 중원구 산성대로476번길 12 (금광동),경기도,성남시,성남중앙병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjE4MzIjNjEjJDEjJDAjJDgz,1.0,자동매칭,0.0,
