시군구코드,인구,총병상수,인구대비병상비율,인구대비병상점수
서울특별시|영등포구,371691,105.0,3539.9142857142856,4.817212144666617
서울특별시|용산구,199575,20.0,9978.75,38.24859214940549
서울특별시|은평구,453056,40.0,11326.4,45.24578873316464
서울특별시|종로구,136139,59.0,2307.4406779661017,0.0
서울특별시|중구,117493,15.0,7832.866666666667,27.106850948688933
서울특별시|중랑구,376282,31.0,12138.129032258064,49.46040499959452
세종특별자치시|세종시,390972,10.0,39097.2,100.0
울산광역시|남구,304418,55.0,5534.872727272727,15.175329157254595
울산광역시|동구,147633,21.0,7030.142857142857,22.938991120319454
울산광역시|북구,213512,17.0,12559.529411764706,51.64837761553982
울산광역시|울주군,218370,10.0,21837.0,99.81836648945063
울산광역시|중구,202823,34.0,5965.382352941177,17.410598316162844
인천광역시|강화군,69556,10.0,6955.6,22.551953665977717
인천광역시|검단구,273735,27.0,10138.333333333334,39.07717223683539
인천광역시|계양구,276125,35.0,7889.285714285715,27.399786924097192
인천광역시|남동구,478762,40.0,11969.05,48.582521849740004
인천광역시|미추홀구,418721,33.0,12688.515151515152,52.31809050652447
인천광역시|부평구,487661,40.0,12191.525,49.73764470060769
인천광역시|서해구,392173,20.0,19608.65,88.24844625243088
인천광역시|연수구,410280,25.0,16411.2,71.64681658839298
인천광역시|영종구,138091,,,
인천광역시|옹진군,19327,5.0,3865.4,6.5071817421603315
인천광역시|제물포구,99299,48.0,2068.7291666666665,0.0
전남광주통합특별시|강진군,31644,9.0,3516.0,4.693045663530536
전남광주통합특별시|고흥군,58991,13.0,4537.7692307692305,9.998221466542196
전남광주통합특별시|곡성군,27663,5.0,5532.6,15.16352882370468
전남광주통합특별시|광산구,382841,109.0,3512.302752293578,4.673849010823463
전남광주통합특별시|광양시,155979,18.0,8665.5,31.430005414257874
전남광주통합특별시|구례군,24576,10.0,2457.6,0.0
전남광주통합특별시|나주시,116699,19.0,6142.0526315789475,18.327896331327008
전남광주통합특별시|남구,205428,39.0,5267.384615384615,13.786491623251196
전남광주통합특별시|담양군,43972,6.0,7328.666666666667,24.488970551307297
전남광주통합특별시|동구,105344,49.0,2149.877551020408,0.0
전남광주통합특별시|목포시,199230,65.0,3065.076923076923,2.3517868697900868
전남광주통합특별시|무안군,95598,4.0,23899.5,100.0
전남광주통합특별시|보성군,38101,14.0,2721.5,0.5678850611511067
전남광주통합특별시|북구,416780,46.0,9060.434782608696,33.48056476696609
전남광주통합특별시|서구,274408,51.0,5380.549019607844,14.374057818208277
전남광주통합특별시|순천시,273733,54.0,5069.12962962963,12.757122640920468
전남광주통합특별시|신안군,42387,4.0,10596.75,41.45733884829849
전남광주통합특별시|여수시,260190,36.0,7227.5,23.963698370555395
전남광주통합특별시|영광군,53752,20.0,2687.6,0.391871285920568
전남광주통합특별시|영암군,50027,8.0,6253.375,18.9058984060584
전남광주통합특별시|완도군,44094,5.0,8818.8,32.22596151286676
전남광주통합특별시|장성군,43130,4.0,10782.5,42.42178010933308
전남광주통합특별시|장흥군,33906,13.0,2608.153846153846,0.0
전남광주통합특별시|진도군,27841,9.0,3093.4444444444443,2.4990752040033737
전남광주통합특별시|함평군,29651,,,
전남광주통합특별시|해남군,61992,25.0,2479.68,0.0
전남광주통합특별시|화순군,59820,23.0,2600.8695652173915,0.0
전북특별자치도|고창군,50006,10.0,5000.6,12.401306746340483
전북특별자치도|군산시,255537,34.0,7515.794117647059,25.46056373998949
전북특별자치도|김제시,81665,10.0,8166.5,28.839124180038446
전북특별자치도|남원시,73744,17.0,4337.882352941177,8.960379461068417
전북특별자치도|무주군,23412,4.0,5853.0,16.827092646237553
전북특별자치도|부안군,46926,10.0,4692.6,10.802125543655945
전북특별자치도|순창군,27642,9.0,3071.3333333333335,2.38427107004442
전북특별자치도|익산시,266707,43.0,6202.488372093023,18.641687565743986
전북특별자치도|임실군,25308,4.0,6327.0,19.288170211407913
전북특별자치도|장수군,21180,5.0,4236.0,8.431391332143738
전북특별자치도|전주시,619849,157.0,3948.082802547771,6.9364829876787475
전북특별자치도|정읍시,100632,17.0,5919.529411764706,17.172523116106962
전북특별자치도|진안군,24855,6.0,4142.5,7.945925609900217
제주특별자치도|서귀포시,178569,16.0,11160.5625,44.384736094527625
제주특별자치도|제주시,484111,77.0,6287.1558441558445,19.08129350665854
충청남도|공주시,99619,15.0,6641.266666666666,20.91988886713408
충청남도|금산군,48847,,,
충청남도|논산시,105815,20.0,5290.75,13.907808129323982
충청남도|당진시,172472,17.0,10145.411764705883,39.11392449136615
충청남도|보령시,91144,17.0,5361.411764705882,14.274694382136202
충청남도|부여군,57687,9.0,6409.666666666667,19.717387677063503
충청남도|서산시,171093,34.0,5032.14705882353,12.565103705660519
충청남도|서천군,46635,5.0,9327.0,34.86461049729625
충청남도|아산시,364270,23.0,15837.826086956522,68.66977508239036
충청남도|예산군,78168,6.0,13028.0,54.08074566332049
