변수명,병상포화도점수,접근성점수,인구대비병상점수,의료진부족점수,regionRisk
병상포화도점수,1.0,-0.38319673901265483,0.22037272917368628,-0.38651955603254967,0.18025922873858613
접근성점수,-0.38319673901265483,1.0,-0.2921550135709477,0.7599944660267189,0.7401361685549989
인구대비병상점수,0.22037272917368628,-0.2921550135709477,1.0,-0.3175039318305967,0.14946073035729254
의료진부족점수,-0.38651955603254967,0.7599944660267189,-0.3175039318305967,1.0,0.6787747542045364
regionRisk,0.18025922873858613,0.7401361685549989,0.14946073035729254,0.6787747542045364,1.0
